driverId,week,hours-logged,miles-logged
90,52,53,2400
103,6,79,1200
82,3,69,1700
46,50,68,1700
36,2,75,3000
66,9,55,4000
78,8,57,500
71,49,70,200
105,39,65,2000
93,14,74,900
84,37,65,1000
10,26,66,3400
38,52,61,2700
93,3,80,2800
80,39,73,0
19,16,80,3400
32,24,66,3600
57,11,69,3800
88,23,61,2700
61,33,71,1800
91,45,72,1200
24,45,65,2400
91,34,63,700
22,4,51,3200
30,22,70,3700
27,27,79,3200
46,12,75,2700
51,51,74,3900
104,3,74,1100
15,21,73,200
91,19,53,2800
102,34,62,1900
38,27,67,100
57,37,72,2400
104,41,61,4000
105,18,80,3100
29,28,55,1600
44,13,55,2200
103,42,80,2500
22,51,60,2800
63,10,56,3200
97,25,76,1500
60,42,66,1200
84,4,77,1400
40,51,65,2400
29,45,73,2800
94,46,58,100
106,46,55,3300
108,20,56,1100
28,29,59,2600
92,41,74,2300
88,39,58,1800
25,31,77,1800
75,35,51,700
70,50,50,1400
88,18,79,1800
32,41,55,3100
107,31,77,2800
33,28,75,4000
57,11,67,2200
48,40,51,2700
52,32,80,800
108,46,63,1300
15,50,73,500
77,37,52,3100
29,5,58,2400
26,15,68,2800
70,35,69,1600
77,1,65,1900
79,48,77,2000
85,45,73,100
43,6,62,3900
15,29,76,2600
17,47,69,3600
99,51,77,500
103,43,66,2800
13,20,79,1200
51,7,73,2700
22,13,77,1200
71,33,68,3600
72,25,67,1400
34,20,66,1700
70,47,78,3200
49,29,67,2400
107,6,61,1900
21,27,74,2900
23,18,58,200
54,11,67,2800
98,9,51,500
100,36,78,1800
60,51,58,2000
48,19,63,3600
108,38,51,1200
11,52,58,2200
103,45,74,3500
69,17,71,2800
13,43,65,1800
103,5,53,3400
60,41,78,800
51,20,64,2300
107,37,61,2700
96,29,66,2000
54,22,62,4000
102,50,67,3000
78,48,74,500
100,31,58,500
23,26,54,3500
19,15,70,3800
50,32,76,600
32,28,56,3600
54,43,64,2400
76,23,54,1400
67,42,51,1300
78,26,58,1300
60,1,69,2400
38,18,51,500
82,47,74,800
56,23,61,2700
48,30,61,3100
56,41,64,2900
49,44,61,2200
53,50,72,1600
72,27,78,0
32,27,73,3000
60,16,73,1400
11,13,78,2200
80,8,55,2300
55,4,79,800
12,32,71,600
99,40,55,3000
36,35,50,1700
31,42,68,700
85,17,69,2100
22,34,64,4000
89,30,56,3000
29,6,70,2900
73,46,56,3100
49,15,74,3700
50,50,68,300
69,2,59,1600
90,8,77,3900
34,14,67,3500
64,39,61,1900
106,50,60,0
66,51,52,1100
23,33,50,1000
20,27,56,2800
56,3,54,4000
76,28,60,200
78,3,54,4000
46,20,78,1500
104,5,66,1100
39,5,72,4000
49,45,75,3300
39,26,68,4000
82,39,50,0
19,8,79,1200
72,3,66,3200
32,1,79,3900
94,5,76,2600
19,49,74,1100
86,43,71,3700
59,17,76,1200
62,28,55,1700
20,40,62,0
14,42,69,700
24,14,58,1000
101,17,52,2000
109,3,58,2500
88,41,61,300
90,36,52,1800
44,5,55,800
105,30,71,2200
50,6,61,1000
13,42,58,200
107,28,75,3700
78,31,50,1700
21,46,74,600
38,49,68,3300
77,8,79,1300
48,51,73,600
59,19,50,2000
62,48,52,1500
85,26,65,3300
93,37,74,1500
80,31,61,1200
85,36,60,1300
47,45,59,700
29,31,80,3600
40,36,72,1000
89,36,56,1000
72,22,71,100
88,12,57,3200
58,3,80,200
78,37,60,3900
74,46,59,2800
25,40,72,3800
82,1,50,600
22,38,78,2800
106,28,65,1000
63,34,73,600
23,46,67,3300
76,33,57,2000
66,23,77,1700
85,6,75,1300
54,46,70,3100
52,2,75,3200
25,5,55,800
31,44,78,900
99,22,55,500
42,11,53,3200
29,21,58,3500
41,37,79,1200
39,41,72,300
72,6,64,2800
89,4,54,2300
109,3,68,100
56,27,72,900
46,50,62,200
38,43,60,800
93,48,50,2900
81,18,62,100
106,45,53,3100
107,44,52,1600
38,11,67,2700
45,38,64,2400
39,49,76,2000
80,37,70,2200
88,16,63,1700
22,17,60,2000
93,15,78,900
35,10,78,1700
106,42,60,100
31,8,65,3600
79,50,80,300
87,28,57,500
32,45,69,3300
33,10,67,3100
34,26,52,2000
57,27,57,4000
14,19,71,1000
107,25,65,1100
67,37,50,1700
47,8,77,2400
32,13,75,500
38,20,59,3000
57,4,70,2100
62,19,61,800
46,16,54,1900
108,46,55,1600
29,46,67,700
104,33,74,2300
46,26,65,3600
45,36,76,400
60,29,69,200
62,52,73,1800
106,22,63,600
64,47,54,1300
105,23,50,3000
91,28,63,1300
57,31,76,1000
42,46,65,3100
85,49,75,900
80,13,80,200
104,21,59,800
10,50,59,3200
56,38,54,1600
76,21,80,3600
64,16,76,200
91,17,63,2500
25,38,67,1400
51,25,53,0
22,44,78,1500
21,38,70,3100
11,2,78,3500
98,22,78,1700
33,6,75,2700
21,43,70,1300
78,30,52,2800
55,52,59,1800
27,37,73,1800
107,50,51,3000
29,30,67,400
33,6,66,0
77,3,76,3700
89,34,57,2800
45,35,68,2100
93,16,56,3800
64,20,52,300
91,4,67,3300
93,41,65,300
28,10,75,200
54,32,53,2600
72,2,68,100
25,17,66,1800
88,50,73,2700
100,5,61,1600
95,30,60,3500
94,39,79,3200
36,36,59,2800
47,24,66,1000
58,20,52,1300
100,16,76,500
32,46,52,100
72,5,58,3300
108,6,66,4000
59,15,72,1500
58,51,62,2800
86,21,63,2200
52,30,50,3100
87,52,55,2000
84,38,59,3900
24,51,57,3000
80,43,67,900
103,13,76,2900
75,12,65,1600
103,16,54,900
85,41,53,3000
34,18,67,3900
79,38,63,3000
61,32,76,2600
72,28,80,500
27,6,58,600
18,26,63,1300
98,26,60,3600
24,36,68,3000
86,23,54,1000
107,9,50,2800
29,29,63,200
63,18,60,3000
105,18,73,900
35,27,57,2400
35,41,74,1500
33,6,64,900
96,36,74,3800
95,27,55,3400
22,45,73,2800
16,34,67,900
41,29,54,1800
45,17,72,3700
43,22,77,700
16,15,53,1600
33,48,63,2100
81,10,61,1100
12,30,67,3000
47,9,62,1700
53,1,71,2400
73,12,50,3700
49,42,80,3100
32,48,61,3200
104,25,76,100
23,22,65,3900
48,6,80,2900
40,31,67,900
89,32,77,1300
45,9,67,1400
92,42,61,1800
86,39,55,1400
73,1,51,500
10,34,54,1100
62,35,74,900
79,28,69,0
94,23,69,3900
102,31,57,800
67,4,74,1200
22,28,56,800
90,30,70,1600
62,9,75,1700
29,12,74,2600
40,15,67,400
28,46,69,2500
18,28,64,400
38,14,77,2000
80,45,80,2500
83,37,67,500
84,49,55,3700
72,25,71,2400
48,36,70,1200
88,12,55,1700
12,44,75,1000
19,35,76,1700
48,29,66,2100
92,39,71,100
103,43,72,2600
94,14,74,1700
64,22,56,3300
94,29,60,3500
54,33,72,3100
89,50,70,1700
90,18,77,800
68,6,53,3500
71,25,67,2900
43,21,78,2700
73,41,59,2700
73,21,54,1600
67,27,79,1200
98,41,77,2400
93,12,69,1000
103,13,78,3100
100,17,74,1900
81,8,61,3300
29,12,66,600
24,9,56,1600
62,25,63,600
79,3,79,2500
65,34,50,2600
68,23,74,300
31,34,63,2800
92,33,65,900
57,26,69,700
62,6,62,1600
47,26,75,200
61,15,80,400
103,13,58,2500
103,34,77,3400
32,1,77,3600
46,11,61,0
67,2,75,1600
80,48,59,1000
10,34,67,500
52,12,55,4000
97,52,77,2100
45,52,69,2400
78,6,73,1000
37,51,66,2300
69,32,69,3500
95,41,53,1100
24,3,68,400
15,27,66,1700
108,34,77,1200
80,47,63,3600
65,27,75,0
79,23,72,1900
36,42,52,2400
60,40,73,300
84,14,63,3300
69,23,79,2400
106,12,64,1300
89,44,80,2900
73,30,75,1300
15,40,50,1500
11,20,76,2200
106,42,67,2800
86,3,73,2900
90,22,59,3000
50,25,61,1100
59,51,55,2600
41,36,61,2400
62,52,59,1100
20,42,51,700
30,44,63,500
96,1,56,100
93,17,69,3700
94,5,61,1600
97,37,76,3900
105,16,51,800
56,31,53,3000
24,39,59,2300
29,35,66,2700
46,21,65,3900
95,5,58,1200
76,1,71,2800
23,33,69,2100
19,27,54,3400
10,3,67,3000
59,9,68,3100
25,2,76,2300
41,36,58,1500
55,14,52,1500
98,43,57,3600
103,28,72,2300
63,19,52,200
70,17,69,300
107,34,63,2900
59,28,76,3200
57,46,50,1500
34,7,78,2100
51,50,72,500
105,6,58,1000
61,45,50,300
47,43,79,3600
35,22,57,2600
26,15,55,3500
64,4,58,600
69,30,53,3700
92,38,59,3800
49,32,75,2700
72,43,60,2200
48,2,52,3300
40,24,61,2000
85,28,54,2900
19,38,64,1000
94,36,54,3600
72,6,54,600
98,45,57,3400
86,46,65,1200
15,17,72,1700
93,31,72,1200
11,10,78,3600
50,45,61,700
56,51,79,3600
30,2,70,2700
40,2,70,2600
90,30,79,2100
66,30,71,2400
24,1,65,800
50,15,56,2400
97,51,75,3600
57,5,65,2400
73,50,63,2600
70,20,65,2700
101,18,65,3900
81,36,58,700
109,10,53,400
101,23,75,2200
16,34,68,200
29,21,72,3300
12,31,80,2500
106,30,58,1600
103,7,55,2600
26,13,60,400
46,35,65,1800
57,18,63,1500
46,41,75,3700
83,46,77,0
14,29,67,1200
17,17,50,1500
76,22,75,2100
94,35,65,2200
25,5,61,2600
91,44,50,3000
62,3,53,700
24,11,80,800
53,44,53,3300
70,32,74,1600
80,45,57,200
10,29,74,3700
24,45,52,300
11,43,50,1400
95,44,50,100
23,33,54,900
41,13,61,3200
60,22,80,4000
19,34,58,3000
10,34,78,1700
46,47,50,200
108,34,69,800
88,10,70,1700
57,2,69,1800
84,42,54,1600
98,34,62,500
83,18,75,3800
33,39,71,2700
50,12,68,1600
39,33,73,3600
71,16,77,3100
75,51,72,1600
52,10,62,600
108,31,58,1400
44,37,79,3800
49,11,71,2800
18,20,63,800
12,52,66,2000
76,33,55,700
93,13,80,1300
45,48,76,1400
14,23,65,1500
54,41,76,3000
69,37,52,2200
18,21,72,3000
74,21,63,1700
109,11,61,2900
77,51,54,0
95,25,68,1600
49,18,54,300
76,1,78,0
63,46,55,3900
27,33,52,300
76,30,68,1400
83,7,65,1500
73,10,74,2500
55,11,50,0
18,41,58,1100
39,6,63,3000
69,38,61,2600
109,18,54,3000
34,4,67,3400
100,9,62,2300
68,20,75,300
71,12,68,1100
34,36,54,2600
17,42,66,3100
41,28,77,2900
61,26,50,1300
43,49,67,200
12,18,76,3800
12,10,80,1600
62,26,67,1700
80,1,68,2000
10,50,59,2700
80,43,54,2300
53,31,80,2100
13,43,77,3000
86,23,66,900
99,24,52,1900
14,23,50,3200
82,13,52,2100
99,36,67,0
93,43,75,1000
50,46,69,1600
34,40,67,900
38,33,64,200
46,52,56,200
85,20,56,3600
90,32,73,2000
64,41,73,2100
12,34,56,1700
30,48,71,2500
82,43,66,2900
81,5,76,300
41,25,73,100
21,21,79,1000
99,19,63,1500
49,50,73,1900
19,37,66,3500
107,50,74,4000
77,12,77,1500
100,36,57,3600
71,3,75,2800
77,15,77,1000
50,47,64,500
58,31,63,800
36,45,54,2500
75,29,60,3900
23,34,51,2200
46,10,64,500
83,35,68,200
37,28,58,200
81,51,63,1900
76,19,63,1800
50,24,58,3300
72,40,78,2100
84,52,56,900
71,49,51,1300
68,48,50,2000
100,25,79,3700
94,7,66,3800
59,24,53,800
70,27,66,1200
24,32,55,3500
88,38,55,1800
106,20,78,600
91,34,79,2700
38,26,73,2300
44,27,70,600
37,27,55,1500
20,4,65,400
92,14,50,3900
39,38,61,0
64,10,57,3500
95,8,79,300
46,35,79,1400
17,21,65,1300
36,51,65,2000
85,37,51,2400
99,36,77,3100
80,18,73,3700
22,27,63,3700
43,24,76,2200
49,5,77,600
105,41,64,4000
78,34,66,3500
10,27,55,2800
97,51,64,2500
47,30,63,200
51,31,73,3800
45,31,73,1900
21,2,74,700
81,47,78,200
74,50,72,2400
15,46,75,900
13,22,65,1400
28,9,66,3400
45,51,60,2100
75,32,56,3000
108,19,50,2900
92,14,51,2800
53,21,51,3500
13,31,62,3300
105,52,60,600
65,34,79,3400
57,15,71,100
46,32,54,1300
67,50,61,900
63,9,56,3000
34,37,54,3900
19,47,50,1900
45,22,61,2100
54,6,77,2100
94,33,79,2600
53,13,50,3900
49,20,70,400
27,52,60,2900
81,11,78,1300
82,10,57,600
46,6,69,2200
97,39,66,2500
89,47,69,1600
12,32,77,3600
28,51,67,2100
99,43,71,2600
51,46,69,300
44,6,63,200
39,39,75,2700
33,30,76,2000
106,34,80,3100
31,7,57,500
61,43,76,1100
15,43,62,2300
55,17,80,3500
41,37,64,4000
36,35,51,3400
30,44,52,1400
99,13,73,0
41,22,76,1700
99,1,55,1600
93,9,51,800
68,45,78,3900
19,9,75,1300
61,50,66,2100
37,29,65,2900
51,48,53,3700
61,5,56,2700
93,10,65,2000
31,50,51,1500
108,36,68,900
96,13,63,0
29,31,76,1200
36,38,58,300
84,33,50,3800
98,37,57,4000
31,10,61,2700
58,34,66,1300
39,21,61,1600
62,49,78,900
27,48,50,300
52,25,56,2800
69,42,60,600
77,2,69,3100
14,42,59,3300
100,4,78,3600
67,49,75,700
96,37,62,1400
49,31,55,1900
10,42,61,300
28,48,80,2700
53,12,51,3600
58,32,75,800
51,36,57,3700
25,6,70,100
20,23,58,2400
89,49,63,300
93,48,54,400
66,50,78,2100
60,23,77,1200
109,33,60,3600
21,34,79,2700
26,44,51,700
29,2,80,2600
19,1,74,2000
67,23,66,2100
15,29,71,1800
12,35,74,4000
87,44,73,3400
22,19,67,1700
91,34,73,3900
87,26,61,2300
16,28,54,1600
33,29,70,1100
74,48,53,2400
88,3,80,700
60,52,72,2700
99,31,69,3600
97,20,57,3900
83,32,67,400
102,26,53,1500
42,28,54,1900
44,21,74,600
39,24,63,3200
18,13,62,3500
23,29,76,2600
47,16,56,500
16,13,70,2800
43,38,61,500
97,31,64,3200
108,7,58,2200
21,47,69,3400
44,5,76,2200
88,46,69,3700
72,30,76,3300
87,37,75,2900
36,48,68,1500
77,39,57,1700
63,43,51,200
75,18,75,3900
91,8,62,1200
109,38,56,3100
38,21,66,2700
73,21,72,1600
65,17,55,1300
16,5,64,1200
72,22,72,3400
57,45,75,800
26,51,67,2400
49,13,66,700
10,23,64,2400
82,9,60,3900
25,5,60,2000
57,4,61,2200
13,47,78,0
78,41,71,1300
16,13,67,900
98,40,52,1600
19,12,52,800
49,11,54,3700
89,25,59,3500
101,16,76,2600
59,30,57,900
90,28,74,2900
75,51,79,3900
101,30,52,300
79,1,65,3800
100,22,68,2100
74,35,63,0
97,9,69,1400
80,7,71,2900
12,3,56,1300
73,36,60,1700
107,19,77,2200
83,15,65,400
18,22,79,500
90,19,64,3300
108,28,75,2900
71,23,80,400
76,48,58,2500
94,31,56,400
102,51,51,400
75,29,67,100
21,18,62,1400
107,16,70,600
17,24,61,500
93,3,50,2200
36,43,59,2000
72,52,63,1400
88,48,72,2400
26,12,61,3200
81,39,71,3800
52,49,59,2500
87,17,70,0
10,31,57,600
11,5,59,100
18,7,80,1800
26,39,69,2000
85,7,51,1200
88,51,60,3800
39,12,53,500
68,14,55,800
34,7,62,1400
55,27,67,4000
101,9,74,3900
58,15,71,1300
71,11,77,300
10,19,74,2200
81,9,64,200
37,10,51,800
34,9,76,2100
55,40,72,1600
67,30,67,800
24,44,61,200
22,16,51,2600
13,24,50,3600
47,5,77,1100
70,18,74,2400
34,46,54,3100
84,39,54,3300
15,38,66,2600
106,8,63,2300
65,29,63,1800
77,31,77,900
42,36,79,600
66,5,53,3000
76,14,67,1100
17,29,57,2600
12,31,63,500
42,28,62,300
95,12,63,2500
43,35,60,100
46,49,72,3700
55,11,60,1600
77,49,75,700
10,49,61,3100
72,30,68,700
108,47,69,3400
76,39,52,2800
109,46,73,200
83,9,53,900
34,25,62,3700
60,40,55,3700
45,39,79,900
85,10,62,2500
90,22,67,3700
34,7,71,800
66,1,53,1900
75,27,60,2700
78,51,52,1900
54,1,55,2400
52,34,65,1800
43,40,52,1100
74,20,78,3000
51,22,65,100
37,39,66,1400
74,3,68,300
50,3,64,1400
62,11,73,1900
103,46,72,2500
58,10,73,3600
85,15,79,1700
53,51,56,2300
56,47,78,3200
36,15,56,1100
36,29,52,1300
17,4,67,2800
94,30,77,100
83,14,76,1400
21,42,60,2300
60,8,67,2800
108,23,73,400
56,38,74,0
21,27,50,800
64,1,57,3600
65,12,62,900
14,52,51,2900
10,16,61,0
41,37,53,2100
16,5,63,200
82,25,67,2900
77,4,79,100
24,38,58,0
38,28,64,1200
16,6,67,3500
16,6,59,1100
101,5,69,1200
98,15,72,0
35,38,58,1600
78,26,70,3000
20,52,78,2000
106,3,64,1200
103,23,51,1000
43,8,63,3300
53,38,51,3200
97,22,57,2000
13,48,74,500
14,45,75,2300
89,50,52,1500
104,1,73,900
54,2,68,800
51,39,66,2100
16,28,50,2700
98,50,64,100
41,9,64,1600
87,46,60,3800
97,25,75,3700
10,2,67,100
45,47,66,3600
91,50,53,3300
54,45,61,1000
95,8,60,3900
45,18,67,3600
17,23,51,3800
70,49,78,3400
98,38,63,2300
28,29,70,3200
90,38,50,2300
87,27,78,1400
59,18,60,1800
91,42,72,2700
71,6,60,900
103,9,66,3200
103,45,77,3500
38,43,66,3500
40,8,63,3000
22,6,77,2700
93,49,53,400
86,1,57,1700
72,52,56,700
17,24,63,500
36,34,52,400
51,43,77,800
85,22,53,3500
10,52,64,3800
